"WATER_SYSTEM_NUMBER","WATER_SYSTEM_NAME","CITY","COUNTY","ZIPCODE","CLASSIFICATION","POPULATION","SERVICE_CONNECTIONS","REGULATING_AGENCY","VIOLATION_NUMBER","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","VIOL_BEGIN_DATE","VIOL_END_DATE","ENF_ACTION_NUMBER","ENF_ACTION_ISSUE_DATE","ENF_ACTION_TYPE_ISSUED","inTulareBasin"
"CA1600048","KETTLEMAN CITY ELEMENTARY","KETTLEMAN CITY","KINGS","93239","NON-TRANSIENT NON-COMMUNITY","350","12","LPA46 - KINGS COUNTY","1600024","MCL,  AVERAGE","ARSENIC","0.015 MG/L","0.010 MG/L","2018-07-01","2018-09-30","1600265","2016-05-18","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1610005","LEMOORE, CITY OF","LEMOORE","KINGS","93245","COMMUNITY","26093","6819","DISTRICT 12 - VISALIA","1212035","MCL,  AVERAGE","ARSENIC",".02580000 MG/L","0.010 MG/L","2012-01-01","2012-03-31","9612012","2013-03-13","RETURN TO COMPLIANCE",true
"CA1610005","LEMOORE, CITY OF","LEMOORE","KINGS","93245","COMMUNITY","26093","6819","DISTRICT 12 - VISALIA","9512017","MCL, LRAA","TTHM","0.134 MG/L","0.080 MG/L","2016-07-01","2016-09-30","9612015","2014-11-07","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1610009","KETTLEMAN CITY CSD","KETTLEMAN CITY","KINGS","93239","COMMUNITY","1450","354","DISTRICT 12 - VISALIA","9912032","MCL,  AVERAGE","ARSENIC","0.016 MG/L","0.010 MG/L","2018-07-01","2018-09-30","912018","2009-01-23","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1700609","LAZY S MOBILE RANCH","MIDDLETOWN","LAKE","95461","COMMUNITY","73","24","DISTRICT 03 - MENDOCINO","1103019","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","91.68 UG/L","NA","2018-01-01","2018-03-31","9403009","2018-07-02","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1700609","LAZY S MOBILE RANCH","MIDDLETOWN","LAKE","95461","COMMUNITY","73","24","DISTRICT 03 - MENDOCINO","1103016","MONTHLY COMB FLTR EFFLUENT (IESWTR/LT1)","TURBIDITY","NA","NA","2016-11-01","2016-11-30","9403006","2017-04-05","RETURN TO COMPLIANCE",false
"CA1900038","LANCASTER PARK MOBILE HOME PARK","LANCASTER","LOS ANGELES","93535","COMMUNITY","61","21","LPA49 - LA COUNTY","1600007","MCL,  AVERAGE","ARSENIC","0.015 MG/L","0.010 MG/L","2016-04-01","2016-06-30","1500034","2015-04-09","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1900100","METTLER VALLEY MUTUAL","LANCASTER","LOS ANGELES","93536","COMMUNITY","135","98","LPA49 - LA COUNTY","1600007","MCL,  AVERAGE","ARSENIC","0.013 MG/L","0.010 MG/L","2016-04-01","2016-06-30","1500035","2015-04-09","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1900520","THE VILLAGE MOBILE HOME PARK","LANCASTER","LOS ANGELES","93536","COMMUNITY","50","34","LPA49 - LA COUNTY","1600007","MCL,  AVERAGE","ARSENIC","0.045 MG/L","0.010 MG/L","2016-04-01","2016-06-30","1500036","2015-04-09","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1900785","MITCHELL'S AVENUE E MOBILE HOME PARK","LANCASTER","LOS ANGELES","93534","COMMUNITY","24","24","LPA49 - LA COUNTY","1600008","MCL,  AVERAGE","ARSENIC","0.021 MG/L","NA","2017-10-30","2020-10-29","1500040","2017-10-30","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1900961","WINTERHAVEN MOBILE ESTATES","LANCASTER","LOS ANGELES","93536","COMMUNITY","56","20","LPA49 - LA COUNTY","1600007","MCL,  AVERAGE","ARSENIC","0.051 MG/L","0.010 MG/L","2016-04-01","2016-06-30","1500038","2015-04-09","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1910020","EAST PASADENA WATER CO.","PASADENA","LOS ANGELES","91107","COMMUNITY","11004","2974","DISTRICT 22 - ANGELES","9607002","MCL, SINGLE SAMPLE","1,2,3-TRICHLOROPROPANE","0.000021 MG/L","NA","2018-01-01","2018-03-31","9816014","2018-03-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1910246","LAND PROJECTS MUTUAL WATER CO.","ANTELOPE ACRES","LOS ANGELES","93536","COMMUNITY","1500","540","DISTRICT 07 - HOLLYWOOD","9507127","MCL,  AVERAGE","ARSENIC","0.0113 MG/L","0.010 MG/L","2017-10-01","2017-12-31","9807021","2015-10-22","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000150","LIBERTY HIGH SCHOOL","MADERA","MADERA","93638","NON-TRANSIENT NON-COMMUNITY","1340","15","LPA50 - MADERA COUNTY","1500014","MCL,  AVERAGE","ARSENIC",".081 MG/L","0.010 MG/L","2017-04-01","2017-06-30","1502760","2016-12-05","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000506","SIERRA LINDA MUTUAL WATER CO","WISHON","MADERA","93669","COMMUNITY","180","89","LPA50 - MADERA COUNTY","1400038","MCL, SINGLE SAMPLE","ARSENIC",".029 MG/L",".010 MG/L","2016-01-01","2016-12-31","900735","2014-08-12","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000506","SIERRA LINDA MUTUAL WATER CO","WISHON","MADERA","93669","COMMUNITY","180","89","LPA50 - MADERA COUNTY","1400037","MCL, SINGLE SAMPLE","COMBINED URANIUM","120 PCI/L","20 PCI/L","2016-01-01","2016-12-31","900735","2014-08-12","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000506","SIERRA LINDA MUTUAL WATER CO","WISHON","MADERA","93669","COMMUNITY","180","89","LPA50 - MADERA COUNTY","1400039","MCL, SINGLE SAMPLE","GROSS ALPHA, EXCL. RADON & U","148 PCI/L","15 PCI/L","2016-01-01","2016-12-31","900735","2014-08-12","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000527","YOSEMITE FORKS EST MUTUAL","OAKHURST","MADERA","93644","COMMUNITY","110","99","LPA50 - MADERA COUNTY","1500023","MCL,  AVERAGE","ARSENIC",".018 MG/L",".010 MG/L","2017-01-01","2017-03-31","1502564","2015-06-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000538","CEDAR VALLEY MUTUAL WATER CO","OAKHURST","MADERA","93644","COMMUNITY","137","67","LPA50 - MADERA COUNTY","1400031","MCL, SINGLE SAMPLE","ARSENIC",".022 MG/L",".010 MG/L","2017-01-01","2017-03-31","1502566","2015-06-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000544","MADERA CO MD#01 HIDDEN LAKE ESTATES","FRIANT","MADERA","93626","COMMUNITY","162","49","DISTRICT 11 - MERCED","1000030","MCL,  AVERAGE","TTHM","117.5 UG/L","80 UG/L","2018-01-01","2018-03-31","1","2014-12-01","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000544","MADERA CO MD#01 HIDDEN LAKE ESTATES","FRIANT","MADERA","93626","COMMUNITY","162","49","DISTRICT 11 - MERCED","1000031","MCL,  AVERAGE","TOTAL HALOACETIC ACIDS (HAA5)","88 UG/L","60 UG/L","2018-01-01","2018-03-31","1","2014-12-01","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000544","MADERA CO MD#01 HIDDEN LAKE ESTATES","FRIANT","MADERA","93626","COMMUNITY","162","49","DISTRICT 11 - MERCED","1000018","MONTHLY COMB. FILTER EFFLUENT (SWTR","TURBIDITY","NA","NA","2016-03-01","2016-03-31","5","2016-09-06","RETURN TO COMPLIANCE",false
"CA2000550","MD 06 LAKE SHORE PARK","BASS LAKE","MADERA","93604","COMMUNITY","130","46","LPA50 - MADERA COUNTY","1400069","MCL, SINGLE SAMPLE","COMBINED URANIUM","110 PCI/L","20 PCI/L","2014-01-01","2014-12-31","1502567","2015-06-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000550","MD 06 LAKE SHORE PARK","BASS LAKE","MADERA","93604","COMMUNITY","130","46","LPA50 - MADERA COUNTY","1500083","MCL,  AVERAGE","ARSENIC","0.083 MG/L","0.010 MG/L","2018-04-01","2018-06-30","1502569","2018-07-17","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000550","MD 06 LAKE SHORE PARK","BASS LAKE","MADERA","93604","COMMUNITY","130","46","LPA50 - MADERA COUNTY","1500085","MCL,  AVERAGE","URANIUM-238","80.4 PCI/L","20 PCI/L","2018-04-01","2018-06-30","1502569","2018-07-17","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000551","MD 07 MARINA VIEW HEIGHTS","BASS LAKE","MADERA","93604","COMMUNITY","200","83","LPA50 - MADERA COUNTY","1500055","MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","2018-04-01","2018-06-30","1502573","2018-07-17","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000551","MD 07 MARINA VIEW HEIGHTS","BASS LAKE","MADERA","93604","COMMUNITY","200","83","LPA50 - MADERA COUNTY","1500052","MCL,  AVERAGE","COMBINED URANIUM","40.5 PCI/L","20 PCI/L","2016-01-01","2016-12-31","1502568","2015-06-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000551","MD 07 MARINA VIEW HEIGHTS","BASS LAKE","MADERA","93604","COMMUNITY","200","83","LPA50 - MADERA COUNTY","1500056","MCL,  AVERAGE","URANIUM-238","82.1 PCI/L","20 PCI/L","2018-04-01","2018-06-30","1502573","2018-07-17","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000552","MD 24 TEAFORD MEADOW LAKES","NORTH FORK","MADERA","93643","COMMUNITY","150","66","LPA50 - MADERA COUNTY","1500044","MCL,  AVERAGE","ARSENIC","0.021 MG/L","0.010 MG/L","2017-07-01","2017-09-30","1502569","2015-06-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000561","MD 08 NORTH FORK WATER SYSTEM","NORTH FORK","MADERA","93643","COMMUNITY","264","67","LPA50 - MADERA COUNTY","1500036","MCL, SINGLE SAMPLE","ARSENIC","0.015 MG/L","0.010 MG/L","2017-01-01","2017-12-31","1502570","2015-06-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000567","YOSEMITE HIGH SCHOOL","OAKHURST","MADERA","93644","NON-TRANSIENT NON-COMMUNITY","796","1","LPA50 - MADERA COUNTY","1500033","MCL,  AVERAGE","COMBINED URANIUM","20.5 PCI/L","20 PCI/L","2017-04-01","2017-06-30","1201654","2014-08-12","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000589","MAMMOTH POOL MOBILE HOME PARK","NORTH FORK","MADERA","93643","COMMUNITY","60","32","LPA50 - MADERA COUNTY","1400089","MCL,  AVERAGE","NITRATE-NITRITE","12 MG/L","10 MG/L","2018-01-01","2018-03-31","1602942","2018-05-10","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
"CA2000592","TWO TWENTY FOUR MOBILE HOME PK","NORTH FORK","MADERA","93643","COMMUNITY","30","15","LPA50 - MADERA COUNTY","1400021","MCL,  AVERAGE","COMBINED URANIUM","176.75 PCI/L","20 PCI/L","2013-10-01","2013-12-31","1502930","2017-04-25","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000592","TWO TWENTY FOUR MOBILE HOME PK","NORTH FORK","MADERA","93643","COMMUNITY","30","15","LPA50 - MADERA COUNTY","1400029","MCL, SINGLE SAMPLE","URANIUM-238","67 PCI/L","20 PCI/L","2017-04-01","2017-06-30","1201655","2014-08-12","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000592","TWO TWENTY FOUR MOBILE HOME PK","NORTH FORK","MADERA","93643","COMMUNITY","30","15","LPA50 - MADERA COUNTY","1400033","MCL,  AVERAGE","GROSS ALPHA, EXCL. RADON & U","194 PCI/L","15 PCI/L","2016-01-01","2016-12-31","1502930","2017-04-25","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000612","NORTH FORK UNION SCHOOL","NORTH FORK","MADERA","93643","NON-TRANSIENT NON-COMMUNITY","350","3","LPA50 - MADERA COUNTY","1400035","MCL,  AVERAGE","ARSENIC",".014 MG/L","0.010 MG/L","2017-04-01","2017-06-30","1502575","2015-06-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000729","MADERA CO SA#16 SUMNER HILL-WATER SYSTEM","MADERA","MADERA","93637","COMMUNITY","135","41","DISTRICT 11 - MERCED","900044","MCL,  AVERAGE","TOTAL HALOACETIC ACIDS (HAA5)","0.109 MG/L","0.060 MG/L","2018-04-01","2018-06-30","901022","2018-06-05","FORMAL ENFORCEMENT ACTION WITH PENALTY ISSUED",false
"CA2000729","MADERA CO SA#16 SUMNER HILL-WATER SYSTEM","MADERA","MADERA","93637","COMMUNITY","135","41","DISTRICT 11 - MERCED","900043","MCL,  AVERAGE","TTHM","0.083 MG/L","0.080 MG/L","2018-04-01","2018-06-30","901022","2018-06-05","FORMAL ENFORCEMENT ACTION WITH PENALTY ISSUED",false
"CA2000737","MD 42 STILL MEADOW","OAKHURST","MADERA","93644","COMMUNITY","100","34","LPA50 - MADERA COUNTY","1500059","MCL, SINGLE SAMPLE","ARSENIC",".017 MG/L",".010 MG/L","2017-07-01","2017-09-30","1502572","2015-06-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000737","MD 42 STILL MEADOW","OAKHURST","MADERA","93644","COMMUNITY","100","34","LPA50 - MADERA COUNTY","1300047","MCL, SINGLE SAMPLE","COMBINED URANIUM","39 PCI/L","20 PCI/L","2013-01-01","2013-12-31","800854","2014-08-12","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000785","VALLEY TEEN RANCH","MADERA","MADERA","93638","COMMUNITY","50","4","LPA50 - MADERA COUNTY","1500022","MCL, SINGLE SAMPLE","ARSENIC","0.270 MG/L","0.010 MG/L","2016-07-01","2016-09-30","1502573","2015-06-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000800","MARQUEZ RENTAL","FIREBAUGH","MADERA","93622","COMMUNITY","50","20","LPA50 - MADERA COUNTY","1300028","MCL, SINGLE SAMPLE","COMBINED URANIUM","28 PCI/L","20 PCI/L","2013-01-01","2013-12-31","1201647","2014-08-12","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000800","MARQUEZ RENTAL","FIREBAUGH","MADERA","93622","COMMUNITY","50","20","LPA50 - MADERA COUNTY","9800002","MCL,  AVERAGE","URANIUM-238","28 PCI/L","NA","2016-01-01","2016-12-31","1201647","2014-08-12","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000828","SHADY OAKS MOBILE HOME PARK LLC","NORTH FORK","MADERA","93643","COMMUNITY","40","21","LPA50 - MADERA COUNTY","1200019","MCL, SINGLE SAMPLE","GROSS ALPHA PARTICLE ACTIVITY","256.24 PCI/L","15 PCI/L","2012-07-01","2012-09-30","900812","2014-08-12","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
"CA2000828","SHADY OAKS MOBILE HOME PARK LLC","NORTH FORK","MADERA","93643","COMMUNITY","40","21","LPA50 - MADERA COUNTY","1500044","MCL,  AVERAGE","COMBINED URANIUM","300 PCI/L","20 PCI/L","2017-01-01","2017-12-31","700382","2014-08-12","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000828","SHADY OAKS MOBILE HOME PARK LLC","NORTH FORK","MADERA","93643","COMMUNITY","40","21","LPA50 - MADERA COUNTY","1500045","MCL,  AVERAGE","GROSS ALPHA, EXCL. RADON & U","297 PCI/L","15 PCI/L","2017-01-01","2017-12-31","700382","2014-08-12","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2000941","BASS LAKE MHP","NORTH FORK","MADERA","93643","COMMUNITY","32","17","LPA50 - MADERA COUNTY","1500014","MCL,  AVERAGE","ARSENIC",".012 MG/L","0.010 MG/L","2017-07-01","2017-09-30","1502978","2017-10-31","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2010007","HILLVIEW WC-OAKHURST/SIERRA LAKES","OAKHURST","MADERA","93644","COMMUNITY","3818","1043","DISTRICT 11 - MERCED","9911049","MCL,  AVERAGE","COMBINED URANIUM","300 PCI/L","20 PCI/L","2018-04-01","2018-06-30","9711006","1997-09-08","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2010007","HILLVIEW WC-OAKHURST/SIERRA LAKES","OAKHURST","MADERA","93644","COMMUNITY","3818","1043","DISTRICT 11 - MERCED","9911050","MCL,  AVERAGE","ARSENIC","16 UG/L","10 UG/L","2018-04-01","2018-06-30","911021","2009-01-26","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2010009","MADERA CO SA NO 19-ROLLING HILLS","MADERA","MADERA","93637","COMMUNITY","1102","336","DISTRICT 11 - MERCED","9611003","MCL,  AVERAGE","ARSENIC","11.6 UG/L","10 UG/L","2017-10-01","2017-12-31","9611006","2017-12-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2010012","HILLVIEW WATER CO-RAYMOND","RAYMOND","MADERA","93653","COMMUNITY","307","94","DISTRICT 11 - MERCED","9611068","MCL, SINGLE SAMPLE","NITRATE","19.3 MG/L","10 MG/L","2018-04-01","2018-06-30","911016","2006-06-01","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2010012","HILLVIEW WATER CO-RAYMOND","RAYMOND","MADERA","93653","COMMUNITY","307","94","DISTRICT 11 - MERCED","9611070","MCL,  AVERAGE","ARSENIC","22.25 UG/L","10 UG/L","2018-04-01","2018-06-30","1211020","2012-08-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2010012","HILLVIEW WATER CO-RAYMOND","RAYMOND","MADERA","93653","COMMUNITY","307","94","DISTRICT 11 - MERCED","9611069","MCL,  AVERAGE","COMBINED URANIUM","23 PCI/L","20 PCI/L","2018-04-01","2018-06-30","1211020","2012-08-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2100579","NICASIO VALLEY RANCH MUTUAL","NICASIO","MARIN","94946","COMMUNITY","51","17","DISTRICT 18 - SONOMA","400010","MCL, LRAA","TTHM","0101 MG/L","0.080 MG/L","2015-10-01","2015-12-31","400008","2015-07-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2100582","NICASIO SCHOOL","NICASIO","MARIN","94946","NON-TRANSIENT NON-COMMUNITY","70","5","DISTRICT 18 - SONOMA","1218028","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.075 MG/L","0.060 MG/L","2018-07-01","2018-09-30","1218024","2018-07-02","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2110005","BOLINAS COMMUNITY PUD","BOLINAS","MARIN","94924","COMMUNITY","2620","587","DISTRICT 18 - SONOMA","9618010","MCL,  AVERAGE","TOTAL HALOACETIC ACIDS (HAA5)",".062 MG/L","NA","2013-01-01","NA","918031","2009-09-01","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA2210905","MCCLURE BOAT CLUB, INC.","SNELLING,","MARIPOSA","95369","COMMUNITY","283","66","DISTRICT 11 - MERCED","511007","MCL,  AVERAGE","TTHM","81 UG/L","80 UG/L","2017-10-01","2017-12-31","9511003","2018-02-09","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2210907","MUSD - CATHEYS VALLEY ELEMENTARY SCHOOL","MARIPOSA","MARIPOSA","95338","NON-TRANSIENT NON-COMMUNITY","157","7","DISTRICT 11 - MERCED","2","MCL, SINGLE SAMPLE","NITRATE","10.55 MG/L","10 MG/L","2016-06-01","2016-08-31","3","2016-08-17","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2300590","SURFWOOD MUTUAL WATER CORPORATION","MENDOCINO","MENDOCINO","95460","COMMUNITY","160","102","DISTRICT 03 - MENDOCINO","9603025","MCL, LRAA","TTHM","103.5 UG/L","NA","2017-07-01","2017-09-30","9703005","2018-03-01","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2300590","SURFWOOD MUTUAL WATER CORPORATION","MENDOCINO","MENDOCINO","95460","COMMUNITY","160","102","DISTRICT 03 - MENDOCINO","9603016","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","113 UG/L","NA","2017-07-01","2017-09-30","9703005","2018-03-01","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2400071","WASHINGTON SCHOOL","WINTON","MERCED","95388","NON-TRANSIENT NON-COMMUNITY","190","4","DISTRICT 11 - MERCED","9600004","MCL, SINGLE SAMPLE","NITRATE","12.0 UG/L","10 UG/L","2018-01-01","2018-03-31","9700116","2018-01-30","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2410002","CITY OF DOS PALOS","DOS PALOS","MERCED","93620","COMMUNITY","7452","2522","DISTRICT 11 - MERCED","811021","MCL,  AVERAGE","TTHM","97 UG/L","80 UG/L","2017-04-01","2017-06-30","9911004","2014-12-30","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2410002","CITY OF DOS PALOS","DOS PALOS","MERCED","93620","COMMUNITY","7452","2522","DISTRICT 11 - MERCED","811022","MONTHLY COMB. FILTER EFFLUENT (SWTR","TURBIDITY","NA","NA","2017-01-01","2017-01-31","9911008","2017-08-29","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2600622","SIERRA EAST MOBILE HOME COMMUNITY","COLEVILLE","MONO","96107","COMMUNITY","50","29","LPA56 - MONO COUNTY","1600033","MCL,  AVERAGE","ARSENIC","0.047 MG/L","0.010 MG/L","2017-07-01","2017-09-30","1600494","2016-03-09","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2610002","JUNE LAKE PUD VILLAGE","JUNE LAKE","MONO","93529","COMMUNITY","2740","292","DISTRICT 13 - SAN BERNARDINO","9913011","MCL,  AVERAGE","TOTAL HALOACETIC ACIDS (HAA5)","0.076 MG/L","NA","2016-10-01","2016-12-31","9813008","2017-02-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2610003","BRIDGEPORT PUD","BRIDGEPORT","MONO","93517","COMMUNITY","2150","293","DISTRICT 13 - SAN BERNARDINO","9913028","MCL,  AVERAGE","ARSENIC","0.017 MG/L","NA","2018-01-01","2018-03-31","9913012","2015-03-06","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2700536","CORRAL DE TIERRA ESTATES WC","SALINAS","MONTEREY","93908","COMMUNITY","45","16","LPA57 - MONTEREY COUNTY","1600037","MCL,  AVERAGE","ARSENIC",".08 MG/L",".01 MG/L","2018-01-01","2018-03-31","1506103","2015-06-18","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
"CA2700665","OAK HEIGHTS W & R CO INC","SALINAS","MONTEREY","93907","COMMUNITY","105","35","LPA57 - MONTEREY COUNTY","1500020","MCL, SINGLE SAMPLE","NITRATE","53. MG/L","45 MG/L","2014-07-01","2014-09-30","804361","2008-03-27","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2700665","OAK HEIGHTS W & R CO INC","SALINAS","MONTEREY","93907","COMMUNITY","105","35","LPA57 - MONTEREY COUNTY","1600023","MCL, SINGLE SAMPLE","NITRATE-NITRITE","12. MG/L","10 MG/L","2015-07-01","2015-09-30","1405858","2013-12-20","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
"CA2700686","GARLEN COURT WS","SALINAS","MONTEREY","93907","COMMUNITY","69","23","LPA57 - MONTEREY COUNTY","1500018","MCL,  AVERAGE","NITRATE","11 MG/L","10 MG/L","2017-10-01","2017-12-31","1105119","2008-12-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2700738","SAN MIGUEL WS #01","ROYAL OAKS","MONTEREY","95076","COMMUNITY","100","34","LPA57 - MONTEREY COUNTY","9800013","MCL, SINGLE SAMPLE","NITRATE","23 MG/L","10 MG/L","2017-10-01","2017-12-31","603352","2006-03-01","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2700771","SPRINGFIELD WATER COMPANY","ROYAL OAKS","MONTEREY","95076","COMMUNITY","200","42","LPA57 - MONTEREY COUNTY","9800015","MCL, SINGLE SAMPLE","NITRATE","61 MG/L","10 MG/L","2017-10-01","2017-12-31","9800430","2017-05-03","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2700799","VISTA DEL TORO WS","SALINAS","MONTEREY","93908","COMMUNITY","87","29","LPA57 - MONTEREY COUNTY","9700019","MCL,  AVERAGE","ARSENIC",".014 MG/L",".010 MG/L","2018-01-01","2018-03-31","1606156","2015-10-01","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2700799","VISTA DEL TORO WS","SALINAS","MONTEREY","93908","COMMUNITY","87","29","LPA57 - MONTEREY COUNTY","9700020","MCL,  AVERAGE","CADMIUM",".007 MG/L",".005 MG/L","2018-01-01","2018-03-31","1606156","2015-10-01","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2700964","BRADLEY UNION SCHOOL WS","BRADLEY","MONTEREY","93426","NON-TRANSIENT NON-COMMUNITY","39","1","LPA57 - MONTEREY COUNTY","1300029","MCL, SINGLE SAMPLE","NITRATE","47. MG/L","45 MG/L","2012-10-01","2012-12-31","1305900","2014-08-12","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA2700970","ROYAL SIERRA ESTATES WS","GREENFIELD","MONTEREY","93927","COMMUNITY","36","19","LPA57 - MONTEREY COUNTY","1600060","FAILURE TO FILTER (SWTR)","SWTR","NA","NA","2015-10-01","NA","1405816","2013-05-28","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2700992","MILLER'S LODGE WS","GREENFIELD","MONTEREY","93927","COMMUNITY","150","51","LPA57 - MONTEREY COUNTY","1600023","FAILURE TO FILTER (SWTR)","SWTR","NA","NA","2015-10-01","NA","1506007","2014-05-21","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2701036","APPLE AVE WS #03","GREENFIELD","MONTEREY","93927","COMMUNITY","60","20","LPA57 - MONTEREY COUNTY","9900013","MCL, SINGLE SAMPLE","NITRATE","31 MG/L","10 MG/L","2017-10-01","2017-12-31","301672","2015-02-05","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
"CA2701040","MCCOY RD  WS #05","SOLEDAD","MONTEREY","93960","COMMUNITY","72","24","LPA57 - MONTEREY COUNTY","700022","MCL, SINGLE SAMPLE","NITRATE","11 MG/L","10 MG/L","2017-10-01","2017-12-31","703916","2017-04-28","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2701063","RIVER RD WS #25","GONZALES","MONTEREY","93926","COMMUNITY","65","19","LPA57 - MONTEREY COUNTY","9800010","MCL, SINGLE SAMPLE","NITRATE","46 MG/L","10 MG/L","2017-10-01","2017-12-31","9800413","2017-05-09","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2701221","WASHINGTON  SCHOOL WS","SALINAS","MONTEREY","93908","NON-TRANSIENT NON-COMMUNITY","250","1","LPA57 - MONTEREY COUNTY","1600054","MCL,  AVERAGE","ARSENIC",".018 MG/L",".010 MG/L","2018-01-01","2018-03-31","1706236","2016-08-24","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
"CA2701221","WASHINGTON  SCHOOL WS","SALINAS","MONTEREY","93908","NON-TRANSIENT NON-COMMUNITY","250","1","LPA57 - MONTEREY COUNTY","1600053","MCL,  AVERAGE","CADMIUM",".009 MG/L",".005 MG/L","2018-01-01","2018-03-31","1706236","2016-08-24","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
"CA2701241","ENCINAL RD WS #01","SALINAS","MONTEREY","93908","COMMUNITY","41","18","LPA57 - MONTEREY COUNTY","1600035","MCL, SINGLE SAMPLE","NITRATE","18.3 MG/L","10 MG/L","2017-01-01","2017-03-31","1305698","2013-06-10","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
